date,day,hour,measure,month,weekday,year,period
2017-12-07 12:00:00,7,12,88.0,12,3,2017,Without pedestrianization
2017-12-07 13:00:00,7,13,72.0,12,3,2017,Without pedestrianization
2017-12-07 14:00:00,7,14,62.0,12,3,2017,Without pedestrianization
2017-12-07 15:00:00,7,15,63.0,12,3,2017,Without pedestrianization
2017-12-07 16:00:00,7,16,68.0,12,3,2017,Without pedestrianization
2017-12-07 17:00:00,7,17,75.0,12,3,2017,Without pedestrianization
2017-12-07 18:00:00,7,18,77.0,12,3,2017,Without pedestrianization
2017-12-07 19:00:00,7,19,80.0,12,3,2017,Without pedestrianization
2017-12-07 20:00:00,7,20,79.0,12,3,2017,Without pedestrianization
2017-12-07 21:00:00,7,21,85.0,12,3,2017,Without pedestrianization
2017-12-07 22:00:00,7,22,94.0,12,3,2017,Without pedestrianization
2017-12-07 23:00:00,7,23,100.0,12,3,2017,Without pedestrianization
2017-12-08 00:00:00,8,0,85.0,12,4,2017,Without pedestrianization
2017-12-08 01:00:00,8,1,77.0,12,4,2017,Without pedestrianization
2017-12-08 02:00:00,8,2,78.0,12,4,2017,Without pedestrianization
2017-12-08 03:00:00,8,3,62.0,12,4,2017,Without pedestrianization
2017-12-08 04:00:00,8,4,57.0,12,4,2017,Without pedestrianization
2017-12-08 05:00:00,8,5,55.0,12,4,2017,Without pedestrianization
2017-12-08 06:00:00,8,6,54.0,12,4,2017,Without pedestrianization
2017-12-08 07:00:00,8,7,53.0,12,4,2017,Without pedestrianization
2017-12-08 08:00:00,8,8,56.0,12,4,2017,Without pedestrianization
2017-12-08 09:00:00,8,9,62.0,12,4,2017,Without pedestrianization
2017-12-08 10:00:00,8,10,62.0,12,4,2017,Without pedestrianization
2017-12-08 11:00:00,8,11,52.0,12,4,2017,Without pedestrianization
2017-12-08 12:00:00,8,12,56.0,12,4,2017,Without pedestrianization
2017-12-08 13:00:00,8,13,65.0,12,4,2017,Without pedestrianization
2017-12-08 14:00:00,8,14,64.0,12,4,2017,Without pedestrianization
2017-12-08 15:00:00,8,15,66.0,12,4,2017,Without pedestrianization
2017-12-08 16:00:00,8,16,64.0,12,4,2017,Without pedestrianization
2017-12-08 17:00:00,8,17,65.0,12,4,2017,Without pedestrianization
2017-12-08 18:00:00,8,18,67.0,12,4,2017,Without pedestrianization
2017-12-08 19:00:00,8,19,68.0,12,4,2017,Without pedestrianization
2017-12-08 20:00:00,8,20,73.0,12,4,2017,Without pedestrianization
2017-12-08 21:00:00,8,21,69.0,12,4,2017,Without pedestrianization
2017-12-08 22:00:00,8,22,59.0,12,4,2017,Without pedestrianization
2017-12-08 23:00:00,8,23,53.0,12,4,2017,Without pedestrianization
2017-12-09 00:00:00,9,0,53.0,12,5,2017,Without pedestrianization
2017-12-09 01:00:00,9,1,63.0,12,5,2017,Without pedestrianization
2017-12-09 02:00:00,9,2,63.0,12,5,2017,Without pedestrianization
2017-12-09 03:00:00,9,3,58.0,12,5,2017,Without pedestrianization
2017-12-09 04:00:00,9,4,54.0,12,5,2017,Without pedestrianization
2017-12-09 05:00:00,9,5,50.0,12,5,2017,Without pedestrianization
2017-12-09 06:00:00,9,6,48.0,12,5,2017,Without pedestrianization
2017-12-09 07:00:00,9,7,48.0,12,5,2017,Without pedestrianization
2017-12-09 08:00:00,9,8,52.0,12,5,2017,Without pedestrianization
2017-12-09 09:00:00,9,9,53.0,12,5,2017,Without pedestrianization
2017-12-09 10:00:00,9,10,64.0,12,5,2017,Without pedestrianization
2017-12-09 11:00:00,9,11,60.0,12,5,2017,Without pedestrianization
2017-12-09 12:00:00,9,12,59.0,12,5,2017,Without pedestrianization
2017-12-09 13:00:00,9,13,57.0,12,5,2017,Without pedestrianization
2017-12-09 14:00:00,9,14,36.0,12,5,2017,Without pedestrianization
2017-12-09 15:00:00,9,15,29.0,12,5,2017,Without pedestrianization
2017-12-09 16:00:00,9,16,29.0,12,5,2017,Without pedestrianization
2017-12-09 17:00:00,9,17,34.0,12,5,2017,Without pedestrianization
2017-12-09 18:00:00,9,18,40.0,12,5,2017,Without pedestrianization
2017-12-09 19:00:00,9,19,41.0,12,5,2017,Without pedestrianization
2017-12-09 20:00:00,9,20,43.0,12,5,2017,Without pedestrianization
2017-12-09 21:00:00,9,21,43.0,12,5,2017,Without pedestrianization
2017-12-09 22:00:00,9,22,43.0,12,5,2017,Without pedestrianization
2017-12-09 23:00:00,9,23,34.0,12,5,2017,Without pedestrianization
2017-12-10 00:00:00,10,0,30.0,12,6,2017,Without pedestrianization
2017-12-10 01:00:00,10,1,29.0,12,6,2017,Without pedestrianization
2017-12-10 02:00:00,10,2,24.0,12,6,2017,Without pedestrianization
2017-12-10 03:00:00,10,3,26.0,12,6,2017,Without pedestrianization
2017-12-10 04:00:00,10,4,25.0,12,6,2017,Without pedestrianization
2017-12-10 05:00:00,10,5,22.0,12,6,2017,Without pedestrianization
2017-12-10 06:00:00,10,6,25.0,12,6,2017,Without pedestrianization
2017-12-10 07:00:00,10,7,18.0,12,6,2017,Without pedestrianization
2017-12-10 08:00:00,10,8,19.0,12,6,2017,Without pedestrianization
2017-12-10 09:00:00,10,9,21.0,12,6,2017,Without pedestrianization
2017-12-10 10:00:00,10,10,23.0,12,6,2017,Without pedestrianization
2017-12-10 11:00:00,10,11,22.0,12,6,2017,Without pedestrianization
2017-12-10 12:00:00,10,12,24.0,12,6,2017,Without pedestrianization
2017-12-10 13:00:00,10,13,24.0,12,6,2017,Without pedestrianization
2017-12-10 14:00:00,10,14,25.0,12,6,2017,Without pedestrianization
2017-12-10 15:00:00,10,15,24.0,12,6,2017,Without pedestrianization
2017-12-10 16:00:00,10,16,23.0,12,6,2017,Without pedestrianization
2017-12-10 17:00:00,10,17,23.0,12,6,2017,Without pedestrianization
2017-12-10 18:00:00,10,18,20.0,12,6,2017,Without pedestrianization
2017-12-10 19:00:00,10,19,21.0,12,6,2017,Without pedestrianization
2017-12-10 20:00:00,10,20,20.0,12,6,2017,Without pedestrianization
2017-12-10 21:00:00,10,21,21.0,12,6,2017,Without pedestrianization
2017-12-10 22:00:00,10,22,25.0,12,6,2017,Without pedestrianization
2017-12-10 23:00:00,10,23,18.0,12,6,2017,Without pedestrianization
2017-12-11 00:00:00,11,0,15.0,12,0,2017,Without pedestrianization
2017-12-11 01:00:00,11,1,15.0,12,0,2017,Without pedestrianization
2017-12-11 02:00:00,11,2,13.0,12,0,2017,Without pedestrianization
2017-12-11 03:00:00,11,3,12.0,12,0,2017,Without pedestrianization
2017-12-11 04:00:00,11,4,22.0,12,0,2017,Without pedestrianization
2017-12-11 05:00:00,11,5,23.0,12,0,2017,Without pedestrianization
2017-12-11 06:00:00,11,6,22.0,12,0,2017,Without pedestrianization
2017-12-11 07:00:00,11,7,24.0,12,0,2017,Without pedestrianization
2017-12-11 08:00:00,11,8,30.0,12,0,2017,Without pedestrianization
2017-12-11 09:00:00,11,9,33.0,12,0,2017,Without pedestrianization
2017-12-11 10:00:00,11,10,36.0,12,0,2017,Without pedestrianization
2017-12-11 11:00:00,11,11,31.0,12,0,2017,Without pedestrianization
2017-12-11 12:00:00,11,12,31.0,12,0,2017,Without pedestrianization
2017-12-11 13:00:00,11,13,29.0,12,0,2017,Without pedestrianization
2017-12-11 14:00:00,11,14,29.0,12,0,2017,Without pedestrianization
2017-12-11 15:00:00,11,15,27.0,12,0,2017,Without pedestrianization
2017-12-11 16:00:00,11,16,26.0,12,0,2017,Without pedestrianization
2017-12-11 17:00:00,11,17,32.0,12,0,2017,Without pedestrianization
2017-12-11 18:00:00,11,18,35.0,12,0,2017,Without pedestrianization
2017-12-11 19:00:00,11,19,39.0,12,0,2017,Without pedestrianization
2017-12-11 20:00:00,11,20,44.0,12,0,2017,Without pedestrianization
2017-12-11 21:00:00,11,21,48.0,12,0,2017,Without pedestrianization
2017-12-11 22:00:00,11,22,43.0,12,0,2017,Without pedestrianization
2017-12-11 23:00:00,11,23,41.0,12,0,2017,Without pedestrianization
2017-12-12 00:00:00,12,0,37.0,12,1,2017,Without pedestrianization
2017-12-12 01:00:00,12,1,31.0,12,1,2017,Without pedestrianization
2017-12-12 02:00:00,12,2,28.0,12,1,2017,Without pedestrianization
2017-12-12 03:00:00,12,3,27.0,12,1,2017,Without pedestrianization
2017-12-12 04:00:00,12,4,38.0,12,1,2017,Without pedestrianization
2017-12-12 05:00:00,12,5,35.0,12,1,2017,Without pedestrianization
2017-12-12 06:00:00,12,6,46.0,12,1,2017,Without pedestrianization
2017-12-12 07:00:00,12,7,59.0,12,1,2017,Without pedestrianization
