,actual,predicted,difference,mae,mse
542,56.0,50.711166,5.2888336,5.2888336,27.971762
543,62.0,52.970856,9.029144,9.029144,81.525444
544,69.0,57.282368,11.717632,11.717632,137.3029
545,73.0,63.156242,9.843758,9.843758,96.89957
546,73.0,68.10879,4.8912125,4.8912125,23.92396
547,74.99999,70.48112,4.518875,4.518875,20.420233
548,70.0,72.29095,-2.290947,2.290947,5.248438
549,63.0,70.67688,-7.67688,7.67688,58.934486
550,58.0,66.00959,-8.00959,8.00959,64.153534
551,52.0,60.705288,-8.705288,8.705288,75.782036
552,49.0,54.773384,-5.773384,5.773384,33.331963
553,40.0,50.32308,-10.323078,10.323078,106.56594
554,35.0,43.46403,-8.464031,8.464031,71.639824
555,36.0,37.429863,-1.429863,1.429863,2.0445082
556,35.0,35.466892,-0.46689224,0.46689224,0.21798837
557,44.0,34.41208,9.587921,9.587921,91.92823
558,53.000004,38.961945,14.038059,14.038059,197.06711
559,58.0,46.2799,11.7201,11.7201,137.36075
560,64.0,52.57116,11.428841,11.428841,130.6184
561,69.0,58.656487,10.3435135,10.3435135,106.98827
562,74.99999,64.01474,10.985252,10.985252,120.67577
563,63.0,69.42169,-6.421692,6.421692,41.23813
564,62.0,66.23225,-4.2322464,4.2322464,17.91191
565,74.0,63.179123,10.820877,10.820877,117.09138
566,87.99999,67.48865,20.511345,20.511345,420.71527
567,90.99999,76.67313,14.326866,14.326866,205.2591
568,83.99999,83.13333,0.8666611,0.8666611,0.75110143
569,76.99999,83.30305,-6.303055,6.303055,39.7285
570,66.0,79.51033,-13.51033,13.51033,182.52902
571,58.0,71.65358,-13.65358,13.65358,186.42024
572,43.0,63.01612,-20.01612,20.01612,400.6451
573,42.0,50.529305,-8.5293045,8.5293045,72.74904
574,53.000004,43.814186,9.185818,9.185818,84.37925
575,43.0,47.373066,-4.373066,4.373066,19.123705
576,39.0,44.534443,-5.534443,5.534443,30.630058
577,40.0,40.616745,-0.616745,0.616745,0.3803744
578,43.0,39.264904,3.735096,3.735096,13.950942
579,49.0,40.421947,8.5780525,8.5780525,73.582985
580,47.0,44.517372,2.4826279,2.4826279,6.163441
581,39.0,45.570366,-6.570366,6.570366,43.16971
582,41.0,41.37773,-0.37773132,0.37773132,0.14268096
583,43.0,40.127098,2.872902,2.872902,8.253566
584,47.0,40.842186,6.157814,6.157814,37.918674
585,48.0,43.55047,4.4495316,4.4495316,19.79833
586,54.0,45.563667,8.436333,8.436333,71.17171
587,56.0,49.63587,6.364128,6.364128,40.502125
588,55.0,52.77901,2.2209892,2.2209892,4.932793
589,67.0,53.642593,13.357407,13.357407,178.42032
590,83.99999,60.085365,23.914627,23.914627,571.90936
591,96.0,71.708755,24.291245,24.291245,590.0646
592,94.99999,82.91638,12.083611,12.083611,146.01364
593,94.0,88.07678,5.923218,5.923218,35.084507
594,87.0,89.590996,-2.5909958,2.5909958,6.713259
595,71.0,87.06307,-16.063072,16.063072,258.02228
596,58.0,78.32696,-20.326958,20.326958,413.1852
597,52.0,66.412155,-14.412155,14.412155,207.71022
598,49.0,56.61919,-7.61919,7.61919,58.05206
599,48.0,50.65341,-2.6534119,2.6534119,7.0405946
600,49.0,47.891872,1.1081276,1.1081276,1.2279468
601,42.0,47.531033,-5.5310326,5.5310326,30.592321
602,39.0,43.74647,-4.7464714,4.7464714,22.528992
603,43.0,40.09397,2.9060287,2.9060287,8.4450035
604,48.0,40.662193,7.3378067,7.3378067,53.843407
605,66.0,43.969173,22.030827,22.030827,485.35733
606,71.0,55.22872,15.771278,15.771278,248.73322
607,58.0,63.8396,-5.8395996,5.8395996,34.100925
608,78.0,61.277206,16.722794,16.722794,279.65182
609,74.0,68.83818,5.1618195,5.1618195,26.64438
610,61.000004,71.28432,-10.284313,10.284313,105.7671
611,62.0,65.81813,-3.8181305,3.8181305,14.57812
612,70.0,62.853336,7.1466637,7.1466637,51.074802
613,76.99999,65.23025,11.769745,11.769745,138.5269
614,83.0,70.52513,12.474869,12.474869,155.62234
615,85.99999,76.33456,9.665436,9.665436,93.42065
616,103.99999,80.52667,23.47332,23.47332,550.99677
617,98.0,89.32608,8.67392,8.67392,75.236885
618,90.99999,91.87965,-0.87965393,0.87965393,0.773791
619,78.0,90.1143,-12.114304,12.114304,146.75635
620,63.0,83.33743,-20.337433,20.337433,413.61118
621,57.0,71.75363,-14.753632,14.753632,217.66965
622,48.0,62.020195,-14.020195,14.020195,196.56587
623,47.0,52.622467,-5.622467,5.622467,31.612135
624,40.0,47.867428,-7.867428,7.867428,61.89642
625,36.0,42.341125,-6.3411255,6.3411255,40.209873
626,37.0,37.622116,-0.6221161,0.6221161,0.38702843
627,41.0,36.23551,4.764488,4.764488,22.700348
628,52.0,38.0618,13.938202,13.938202,194.27347
629,63.0,45.099262,17.900738,17.900738,320.4364
630,85.0,54.582718,30.417282,30.417282,925.21106
631,82.0,69.95549,12.04451,12.04451,145.07022
632,92.0,76.6615,15.338501,15.338501,235.2696
633,78.99999,83.384674,-4.3846817,4.3846817,19.225433
634,76.99999,81.1844,-4.18441,4.18441,17.509289
635,73.0,77.98907,-4.989067,4.989067,24.89079
636,72.0,74.350365,-2.3503647,2.3503647,5.5242143
637,72.0,71.87724,0.12275696,0.12275696,0.0150692705
638,76.0,70.95252,5.0474777,5.0474777,25.477032
639,78.0,72.521904,5.478096,5.478096,30.009537
640,76.99999,74.53947,2.4605255,2.4605255,6.054186
641,66.0,75.174385,-9.174385,9.174385,84.16934
642,73.0,70.12649,2.8735123,2.8735123,8.257072
643,66.0,70.24124,-4.2412415,4.2412415,17.988129
644,52.0,67.348114,-15.348114,15.348114,235.5646
645,61.000004,58.409927,2.5900764,2.5900764,6.708496
646,45.000004,58.2211,-13.221096,13.221096,174.79738
647,38.0,50.19078,-12.190781,12.190781,148.61513
648,33.0,41.984444,-8.984444,8.984444,80.72023
649,32.0,35.59346,-3.59346,3.59346,12.912955
650,42.0,32.394363,9.605637,9.605637,92.26826
651,48.0,36.82983,11.17017,11.17017,124.7727
652,56.0,42.615055,13.384945,13.384945,179.15675
653,70.0,49.69252,20.30748,20.30748,412.39374
654,87.0,60.360054,26.639946,26.639946,709.6867
655,78.0,73.66994,4.330063,4.330063,18.749445
656,62.0,76.50963,-14.509628,14.509628,210.52931
657,48.0,69.324585,-21.324585,21.324585,454.7379
658,45.000004,56.690308,-11.690304,11.690304,136.66321
659,48.0,48.019318,-0.019317627,0.019317627,0.0003731707
660,48.0,46.33527,1.6647301,1.6647301,2.7713263
661,55.0,46.352657,8.647343,8.647343,74.776535
662,70.0,50.365654,19.634346,19.634346,385.50754
663,80.99999,60.306213,20.693779,20.693779,428.23248
664,74.99999,70.86214,4.1378555,4.1378555,17.12185
665,66.0,73.46877,-7.468773,7.468773,55.78257
666,53.000004,69.64972,-16.649715,16.649715,277.213
667,45.000004,59.95053,-14.950527,14.950527,223.51826
668,41.0,49.993736,-8.993736,8.993736,80.88729
669,49.0,43.24513,5.7548714,5.7548714,33.118546
670,41.0,44.990334,-3.9903336,3.9903336,15.922762
671,40.0,42.220764,-2.2207642,2.2207642,4.9317937
672,35.0,40.099045,-5.099045,5.099045,26.000257
673,35.0,36.442513,-1.4425125,1.4425125,2.0808423
674,40.0,34.672318,5.3276825,5.3276825,28.384201
675,43.0,36.852818,6.1471825,6.1471825,37.787853
676,43.0,39.735577,3.2644234,3.2644234,10.65646
677,46.0,41.128082,4.8719177,4.8719177,23.735582
678,46.0,43.26726,2.7327385,2.7327385,7.4678597
679,32.0,44.25378,-12.25378,12.25378,150.15514
680,24.0,36.83401,-12.834011,12.834011,164.71184
681,24.0,28.564222,-4.5642223,4.5642223,20.832125
682,24.0,25.147434,-1.1474342,1.1474342,1.3166053
683,28.0,24.15621,3.84379,3.84379,14.774722
684,29.0,26.08997,2.9100304,2.9100304,8.468277
685,39.0,27.62325,11.376751,11.376751,129.43047
686,67.0,33.552044,33.447956,33.447956,1118.7657
687,83.99999,51.052654,32.94734,32.94734,1085.5271
688,89.99999,68.48709,21.512901,21.512901,462.80493
689,76.99999,79.722946,-2.7229538,2.7229538,7.4144773
690,60.0,79.19677,-19.19677,19.19677,368.51596
691,38.0,69.15553,-31.155533,31.155533,970.66724
692,29.0,50.47071,-21.47071,21.47071,460.99142
693,23.000002,35.667564,-12.6675625,12.6675625,160.46713
694,36.0,26.822649,9.177351,9.177351,84.22377
695,43.0,30.8076,12.1924,12.1924,148.65462
696,33.0,37.232018,-4.2320175,4.2320175,17.909973
697,41.0,34.827282,6.172718,6.172718,38.102448
698,46.0,37.52623,8.47377,8.47377,71.80478
699,57.0,41.678402,15.321598,15.321598,234.75137
700,60.0,49.54895,10.45105,10.45105,109.22444
701,57.0,55.28594,1.7140617,1.7140617,2.9380076
702,46.0,56.205986,-10.205986,10.205986,104.16215
703,39.0,50.204346,-11.204346,11.204346,125.53736
704,41.0,42.69249,-1.6924896,1.6924896,2.864521
705,36.0,40.291065,-4.291065,4.291065,18.41324
706,42.0,36.965515,5.034485,5.034485,25.346037
707,40.0,38.81362,1.1863785,1.1863785,1.407494
708,54.0,38.965015,15.034985,15.034985,226.05077
709,71.0,46.41776,24.582241,24.582241,604.28656
710,85.99999,59.25423,26.745762,26.745762,715.33575
711,89.99999,72.896614,17.103378,17.103378,292.52554
712,89.0,81.46518,7.5348206,7.5348206,56.77352
713,99.0,84.71624,14.28376,14.28376,204.0258
714,106.99999,89.42767,17.572319,17.572319,308.7864
715,90.99999,94.50684,-3.5068512,3.5068512,12.298005
716,65.0,91.672356,-26.672356,26.672356,711.41455
717,64.0,78.46754,-14.467537,14.467537,209.30963
718,56.0,68.74411,-12.74411,12.74411,162.41234
719,46.0,59.943542,-13.9435425,13.9435425,194.42238
720,69.0,50.776436,18.223564,18.223564,332.0983
721,46.0,58.725765,-12.725765,12.725765,161.9451
722,49.0,51.88582,-2.8858185,2.8858185,8.327949
723,54.0,49.081135,4.918865,4.918865,24.195234
724,60.0,50.792908,9.207092,9.207092,84.770546
725,71.0,54.968513,16.031487,16.031487,257.00854
726,78.0,63.111034,14.888966,14.888966,221.68129
727,47.550476,70.69497,-23.144493,23.144493,535.66754
728,89.99999,59.026035,30.973957,30.973957,959.386
729,90.99999,72.13327,18.866722,18.866722,355.95322
730,73.0,80.78962,-7.7896194,7.7896194,60.67817
731,66.0,77.32778,-11.327782,11.327782,128.31863
732,78.99999,71.3794,7.62059,7.62059,58.073395
733,89.0,73.06418,15.935822,15.935822,253.95041
734,92.0,79.425446,12.574554,12.574554,158.11942
735,98.0,84.5871,13.412903,13.412903,179.90596
