,actual,predicted,difference,mae,mse
4167,17.59091,13.765246,3.8256636,3.8256636,14.635702
4168,26.71591,16.842987,9.872923,9.872923,97.47461
4169,67.36364,22.749321,44.61432,44.61432,1990.4375
4170,69.02273,46.059853,22.962875,22.962875,527.29364
4171,48.28409,59.508648,-11.22456,11.22456,125.990746
4172,65.704544,54.537952,11.166592,11.166592,124.69277
4173,54.09091,59.621647,-5.530735,5.530735,30.58903
4174,25.05682,56.182884,-31.126064,31.126064,968.8319
4175,17.59091,37.771255,-20.180346,20.180346,407.24634
4176,12.613637,24.599771,-11.986135,11.986135,143.66742
4177,19.25,17.23713,2.0128708,2.0128708,4.0516486
4178,20.079546,18.432743,1.6468029,1.6468029,2.7119598
4179,37.5,19.881668,17.618332,17.618332,310.4056
4180,47.454544,29.445507,18.009037,18.009037,324.3254
4181,50.772728,39.45457,11.318157,11.318157,128.10068
4182,53.261364,45.82565,7.4357147,7.4357147,55.289852
4183,32.97937,49.908745,-16.929375,16.929375,286.60373
4184,29.179686,40.213154,-11.033468,11.033468,121.73742
4185,25.890581,32.595142,-6.704561,6.704561,44.95114
4186,62.386364,27.776218,34.610146,34.610146,1197.8622
4187,33.352272,45.10345,-11.751179,11.751179,138.0902
4188,23.397728,39.39068,-15.99295,15.99295,255.77446
4189,34.18182,29.512775,4.6690445,4.6690445,21.799976
4190,33.352272,30.967474,2.384798,2.384798,5.6872616
4191,30.863636,31.722328,-0.85869217,0.85869217,0.73735225
4192,27.545456,30.892962,-3.3475056,3.3475056,11.205793
4193,20.909092,28.652206,-7.7431145,7.7431145,59.955822
4194,20.909092,23.996843,-3.0877514,3.0877514,9.534208
4195,18.420454,22.03969,-3.619236,3.619236,13.098869
4196,10.125001,20.177048,-10.052047,10.052047,101.04365
4197,9.295455,15.267579,-5.972124,5.972124,35.666267
4198,16.761364,12.940038,3.8213263,3.8213263,14.602534
4199,10.125001,15.897735,-5.7727337,5.7727337,33.324455
4200,11.784091,14.018147,-2.2340565,2.2340565,4.9910083
4201,15.931819,13.892128,2.039691,2.039691,4.1603394
4202,12.613637,15.989788,-3.376151,3.376151,11.3983965
4203,30.034092,15.226769,14.8073225,14.8073225,219.2568
4204,40.818184,23.551432,17.266752,17.266752,298.14075
4205,56.579544,33.230694,23.34885,23.34885,545.1688
4206,75.65909,45.946487,29.7126,29.7126,882.8386
4207,54.09091,61.90135,-7.8104362,7.8104362,61.002914
4208,36.670456,58.951225,-22.28077,22.28077,496.43268
4209,35.011364,46.04277,-11.031406,11.031406,121.691925
4210,30.863636,37.87893,-7.015293,7.015293,49.214336
4211,16.761364,32.455963,-15.694599,15.694599,246.32045
4212,27.545456,23.05251,4.4929466,4.4929466,20.18657
4213,15.102273,24.848738,-9.746465,9.746465,94.993576
4214,16.761364,19.755972,-2.994608,2.994608,8.967676
4215,26.71591,18.263052,8.452858,8.452858,71.450806
4216,30.034092,23.052588,6.9815044,6.9815044,48.741405
4217,64.875,27.06475,37.81025,37.81025,1429.615
4218,57.40909,46.815037,10.594051,10.594051,112.233925
4219,51.602272,53.649338,-2.0470657,2.0470657,4.1904783
4220,40.818184,52.751915,-11.933731,11.933731,142.41394
4221,31.693182,45.6665,-13.973318,13.973318,195.25362
4222,35.011364,36.309814,-1.2984505,1.2984505,1.6859736
4223,20.909092,34.16002,-13.250927,13.250927,175.58707
4224,15.931819,26.159283,-10.227464,10.227464,104.60101
4225,22.568182,20.042498,2.5256844,2.5256844,6.3790812
4226,25.886364,21.291933,4.594431,4.594431,21.108795
4227,30.034092,23.941969,6.092123,6.092123,37.113964
4228,32.522728,27.34123,5.1814976,5.1814976,26.847918
4229,32.522728,30.1496,2.373129,2.373129,5.6317406
4230,26.71591,31.256603,-4.5406933,4.5406933,20.617895
4231,15.102273,28.453821,-13.351548,13.351548,178.26384
4232,14.272728,20.831423,-6.558695,6.558695,43.01648
4233,8.465909,17.231937,-8.766028,8.766028,76.843254
4234,5.977273,13.277057,-7.2997837,7.2997837,53.286842
4235,4.318182,10.682825,-6.364643,6.364643,40.508682
4236,5.977273,9.098845,-3.1215715,3.1215715,9.744209
4237,5.1477275,9.374653,-4.2269254,4.2269254,17.866898
4238,7.636364,9.186111,-1.5497475,1.5497475,2.4017172
4239,13.443182,10.264119,3.1790628,3.1790628,10.106441
4240,14.272728,13.4928,0.7799282,0.7799282,0.608288
4241,17.59091,15.208451,2.3824587,2.3824587,5.6761093
4242,25.886364,17.419552,8.466812,8.466812,71.686905
4243,30.863636,22.512512,8.351124,8.351124,69.74127
4244,40.818184,27.343906,13.4742775,13.4742775,181.55615
4245,54.09091,34.65945,19.431461,19.431461,377.5817
4246,44.96591,45.154564,-0.18865204,0.18865204,0.03558959
4247,41.647728,45.341793,-3.694065,3.694065,13.646117
